exper,expersq,black,south66,enroll,smsa,momdad14,weight,wage,libcrd14,motheduc,fatheduc,KWW,IQ,educ
16,256,1,0,0,1,1,158413,548,0.0,10.348136996612721,10.00344827586207,15.0,102.44978165938865,7
9,81,0,0,0,1,1,380166,481,1.0,8.0,8.0,35.0,93.0,12
16,256,0,0,0,1,1,367470,721,1.0,12.0,14.0,42.0,103.0,12
10,100,0,0,0,1,1,380166,250,1.0,12.0,11.0,25.0,88.0,11
16,256,0,0,0,1,1,367470,729,0.0,7.0,8.0,34.0,108.0,12
8,64,0,0,0,1,1,380166,500,1.0,12.0,9.0,38.0,85.0,12
9,81,0,0,0,1,1,367470,565,1.0,14.0,14.0,41.0,119.0,18
9,81,0,0,0,1,1,496635,608,1.0,14.0,14.0,46.0,108.0,14
10,100,0,0,0,1,1,367772,425,0.0,12.0,12.0,32.0,96.0,12
11,121,0,0,0,1,1,480445,515,1.0,12.0,12.0,34.0,97.0,12
13,169,0,0,0,1,1,380166,225,0.0,12.0,11.0,29.0,84.0,9
8,64,0,0,0,1,1,380166,400,1.0,6.0,11.0,34.0,89.0,12
7,49,0,0,0,1,1,369567,417,1.0,6.0,11.0,22.0,93.0,11
13,169,0,0,0,1,1,496635,217,0.0,6.0,11.0,27.0,74.0,11
9,81,1,0,0,1,0,648053,894,1.0,8.0,10.00344827586207,43.0,116.0,16
4,16,0,0,0,1,1,357519,300,1.0,12.0,15.0,36.0,102.44978165938865,14
16,256,0,0,0,1,1,367470,346,1.0,8.0,12.0,40.0,93.0,12
9,81,0,0,0,1,0,496635,658,1.0,12.0,10.00344827586207,35.0,100.0,14
10,100,0,0,0,1,1,367772,575,0.0,8.0,8.0,24.0,91.0,10
14,196,0,0,0,1,1,355491,649,0.0,8.0,8.0,35.0,88.0,12
8,64,0,0,0,1,1,367470,944,1.0,13.0,12.0,43.0,102.44978165938865,18
10,100,0,0,0,1,1,408301,614,1.0,8.0,10.00344827586207,50.0,114.0,18
11,121,0,0,0,0,1,367470,726,1.0,14.0,5.0,37.0,111.0,15
10,100,0,0,0,1,1,380166,604,1.0,12.0,14.0,44.0,102.44978165938865,12
14,196,0,0,0,1,1,367470,693,1.0,12.0,11.0,44.0,95.0,12
10,100,0,0,0,0,1,367470,1400,1.0,13.0,14.0,44.0,132.0,18
8,64,0,0,0,1,1,367772,300,1.0,12.0,7.0,27.0,102.44978165938865,12
8,64,0,0,0,1,1,355491,1800,1.0,16.0,16.0,38.0,109.0,18
7,49,0,0,0,1,1,357519,413,1.0,12.0,11.0,43.0,108.0,12
9,81,0,0,0,0,0,496635,632,1.0,16.0,10.00344827586207,45.0,102.0,14
7,49,0,0,0,1,1,90339,208,1.0,12.0,12.0,30.0,106.0,12
7,49,1,0,0,1,0,102031,457,1.0,11.0,10.00344827586207,40.0,104.0,12
2,4,0,0,0,1,1,369567,824,1.0,10.0,10.0,24.0,119.0,16
10,100,0,0,0,1,0,408301,577,1.0,12.0,10.00344827586207,47.0,122.0,18
11,121,0,0,0,1,0,380166,255,1.0,10.0,6.0,32.0,90.0,11
8,64,0,0,0,1,1,496635,962,1.0,12.0,12.0,47.0,118.0,16
15,225,0,0,0,1,1,496635,944,0.0,6.0,8.0,37.0,105.0,10
10,100,0,0,1,1,1,367470,1146,1.0,11.0,8.0,43.0,115.0,18
15,225,0,0,0,1,1,104596,324,1.0,6.0,2.0,16.0,102.44978165938865,6
7,49,1,0,0,1,1,102031,235,1.0,12.0,6.0,27.0,65.0,11
16,256,0,0,0,1,1,367470,1000,0.0,10.0,11.0,45.0,120.0,12
11,121,0,0,0,1,0,422407,481,1.0,12.0,10.00344827586207,31.0,86.0,9
11,121,0,0,0,1,1,89826,624,1.0,12.0,10.0,39.0,109.0,15
17,289,0,0,0,1,1,89826,650,0.0,10.0,8.0,36.0,72.0,11
6,36,1,0,0,1,0,102031,344,0.0,10.0,10.00344827586207,31.0,102.44978165938865,12
2,4,0,0,0,1,1,369567,380,0.0,10.0,12.0,33.540668241646976,102.44978165938865,16
6,36,0,0,0,1,1,369567,353,1.0,11.0,12.0,25.0,101.0,12
6,36,0,0,0,1,0,369567,659,1.0,12.0,10.00344827586207,29.0,105.0,13
5,25,0,0,1,1,1,380166,621,1.0,10.0,10.0,48.0,136.0,17
7,49,0,0,0,1,1,369567,440,1.0,11.0,10.0,40.0,101.0,12
8,64,1,0,0,1,1,104596,738,1.0,10.0,12.0,34.0,96.0,12
14,196,1,0,0,0,1,158413,280,0.0,5.0,5.0,36.0,102.44978165938865,11
8,64,0,0,0,1,0,369567,434,1.0,10.348136996612721,5.0,34.0,102.44978165938865,10
9,81,0,0,0,1,0,380166,705,1.0,8.0,10.00344827586207,34.0,101.0,12
9,81,0,0,0,1,1,380166,425,1.0,12.0,10.0,32.0,91.0,12
6,36,0,0,0,1,0,369567,571,1.0,4.0,10.00344827586207,35.0,102.44978165938865,12
8,64,0,0,0,1,1,496635,538,1.0,12.0,12.0,52.0,115.0,16
10,100,0,0,0,1,1,408301,740,1.0,12.0,12.0,49.0,113.0,16
13,169,0,0,1,1,1,367470,673,1.0,12.0,10.0,43.0,123.0,13
16,256,0,0,0,1,1,89826,769,1.0,10.0,10.0,36.0,95.0,12
6,36,0,0,0,1,0,90339,592,1.0,10.0,10.0,26.0,102.0,12
9,81,1,0,0,1,1,102031,213,1.0,11.0,12.0,15.0,102.44978165938865,9
12,144,0,0,0,1,1,367470,1563,1.0,12.0,12.0,50.0,145.0,16
6,36,0,0,0,1,1,380166,774,1.0,11.0,11.0,35.0,114.0,16
8,64,0,0,0,1,1,380166,600,0.0,9.0,8.0,35.0,113.0,12
0,0,0,0,0,1,1,369567,693,1.0,16.0,16.0,24.0,102.44978165938865,18
12,144,0,0,0,1,1,496635,570,1.0,12.0,8.0,40.0,93.0,13
8,64,0,0,0,1,1,380166,433,1.0,12.0,12.0,38.0,102.44978165938865,14
7,49,0,0,0,1,1,380166,538,0.0,12.0,12.0,37.0,119.0,15
7,49,0,0,0,1,0,369567,627,1.0,9.0,12.0,35.0,108.0,12
17,289,0,0,0,1,1,496635,481,1.0,11.0,12.0,35.0,102.44978165938865,8
8,64,0,0,0,1,1,380166,545,1.0,11.0,6.0,26.0,72.0,12
7,49,0,0,0,1,1,369567,576,1.0,9.0,12.0,34.0,86.0,12
3,9,0,0,0,1,1,90339,700,1.0,12.0,14.0,42.0,123.0,16
6,36,0,0,0,1,1,367772,788,1.0,12.0,12.0,38.0,103.0,16
4,16,0,0,0,1,1,367772,1012,1.0,12.0,12.0,42.0,101.0,17
6,36,0,0,0,1,1,357519,758,1.0,10.0,12.0,30.0,102.44978165938865,12
9,81,0,0,1,1,1,480445,601,1.0,16.0,12.0,41.0,105.0,14
6,36,0,0,0,1,0,357519,283,1.0,12.0,10.00344827586207,34.0,102.44978165938865,12
6,36,0,0,0,1,0,397244,250,1.0,12.0,12.0,29.0,102.44978165938865,12
8,64,0,0,0,1,1,367772,500,1.0,12.0,10.0,33.0,95.0,12
14,196,0,0,0,1,1,480445,550,1.0,6.0,8.0,41.0,98.0,11
7,49,0,0,0,1,1,357519,1143,1.0,6.0,8.0,27.0,102.44978165938865,12
7,49,0,0,0,1,1,480445,810,0.0,8.0,8.0,39.0,115.0,18
10,100,1,0,0,1,0,104596,313,1.0,9.0,10.00344827586207,20.0,60.0,12
1,1,0,0,0,1,0,369567,731,1.0,4.0,10.00344827586207,36.0,135.0,18
3,9,0,0,1,1,1,369567,625,1.0,10.0,9.0,35.0,132.0,16
4,16,0,0,1,1,1,369567,588,1.0,12.0,16.0,33.0,106.0,14
6,36,0,0,1,1,1,380166,375,1.0,12.0,12.0,28.0,113.0,14
